"","year(datosmeteo$Date)","month(datosmeteo$Date)","mean(HiTemp)","mean(LowTemp)","mean(OutHum, na.rm = TRUE)","mean(WindSpeed)","sum(SunLight)"
"1",2015,1,28.0310901749664,27.0374158815612,64.9919246298789,1.69744279946164,373
"2",2015,2,28.3367164179104,27.2161194029851,61.8134328358209,1.42477611940299,336
"3",2015,3,28.9064602960969,27.8168236877524,58.1776581426649,2.40094212651413,400
"4",2015,4,29.7894444444444,28.7556944444444,61.8263888888889,1.99583333333333,390
"5",2015,5,29.9595430107527,28.8309139784946,62.7043010752688,1.86236559139785,403
"6",2015,6,28.8127777777778,27.9133333333333,75.7680555555555,1.56916666666667,394
"7",2015,7,28.9225806451613,27.9711021505376,69.2096774193548,1.79596774193548,408
"8",2015,8,29.751747311828,28.6639784946237,67.3849259757739,1.64852150537634,405
"9",2015,9,28.1618055555556,27.0756944444444,78.7861111111111,0.621944444444445,390
"10",2015,10,27.2868279569892,26.2930107526882,85.6384408602151,0.316263440860215,400
"11",2015,11,27.205,26.1723611111111,83.6541666666667,0.508611111111111,387
"12",2015,12,28.3260752688172,27.3612903225806,73.3965053763441,1.59395161290323,384
